"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_34131","CO_83215",0.99,0.01,0,0.005,55563,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83215","Cooks","kid","Cooks-27",29,"2","Cooks_29_2"
"CO_34131","CO_83208",0.726,0.194,0.08,0.177,59982,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83208","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1"
"CO_34131","CO_83217",0.989,0.01,0.001,0.006,57206,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83217","Cooks","kid","Cooks-27",29,"2","Cooks_29_2"
"CO_34131","CO_83405",0.992,0.002,0.006,0.007,53809,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83405","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1"
"CO_34131","CO_83402",0.994,0.006,0,0.003,56915,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83402","Make Believe","kid","MakeBelieve-69",14,"1","Make Believe_14_1"
"CO_34131","CO_83403",0.991,0.008,0,0.004,60822,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83403","Make Believe","kid","MakeBelieve-69",14,"1","Make Believe_14_1"
"CO_34131","CO_83205",0.354,0.311,0.335,0.49,60312,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83205","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1"
"CO_34131","CO_83401",0.994,0.006,0,0.003,59926,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83401","Make Believe","kid","MakeBelieve-69",14,"1","Make Believe_14_1"
"CO_34131","CO_83207",0.798,0.138,0.064,0.133,49395,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83207","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1"
"CO_34131","CO_83406",0.993,0.002,0.005,0.006,61554,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83406","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1"
"CO_34131","CO_83404",0.99,0.009,0,0.005,60257,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83404","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1"
