"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_57558","CO_82977",0.362,0.489,0.149,0.394,57836,"2850-57558","Cooks","mom","Cooks-31",NA,NA,NA,"2811-82977","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1"
"CO_57558","CO_E63",0.335,0.524,0.141,0.403,61845,"2850-57558","Cooks","mom","Cooks-31",NA,NA,NA,"E63","Cooks","egg","Cooks-31",31,"collected","Cooks-31_collected"
"CO_57558","CO_E60",0.34,0.516,0.144,0.402,57204,"2850-57558","Cooks","mom","Cooks-31",NA,NA,NA,"E60","Cooks","egg","Cooks-31",31,"collected","Cooks-31_collected"
"CO_57558","CO_E61",0.374,0.465,0.161,0.394,54788,"2850-57558","Cooks","mom","Cooks-31",NA,NA,NA,"E61","Cooks","egg","Cooks-31",31,"collected","Cooks-31_collected"
"CO_57558","CO_E64",0.276,0.61,0.114,0.419,60391,"2850-57558","Cooks","mom","Cooks-31",NA,NA,NA,"E64","Cooks","egg","Cooks-31",31,"collected","Cooks-31_collected"
"CO_57565","CO_E48",0.302,0.572,0.126,0.412,61863,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA,"E48","Blue Cloud","egg","BlueCloud-14",14,"collected","BlueCloud-14_collected"
"CO_57565","CO_E50",0.335,0.503,0.162,0.413,55407,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA,"E50","Blue Cloud","egg","BlueCloud-14",14,"collected","BlueCloud-14_collected"
"CO_57565","CO_E49",0.326,0.538,0.136,0.405,62372,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA,"E49","Blue Cloud","egg","BlueCloud-14",14,"collected","BlueCloud-14_collected"
"CO_57603","CO_82989",0.359,0.462,0.179,0.41,53332,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,"2811-82989","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_57603","CO_82988",0.285,0.591,0.123,0.419,56076,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,"2811-82988","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_57603","CO_82990",0.296,0.584,0.12,0.412,61549,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,"2811-82990","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_57603","CO_E58",0.33,0.554,0.117,0.393,59720,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,"E58","Schaaps","egg","Schaaps-54",54,"collected","Schaaps-54_collected"
"CO_57603","CO_E56",0.327,0.53,0.143,0.408,55307,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,"E56","Schaaps","egg","Schaaps-54",54,"collected","Schaaps-54_collected"
"CO_57603","CO_E57",0.346,0.487,0.167,0.41,53422,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,"E57","Schaaps","egg","Schaaps-54",54,"collected","Schaaps-54_collected"
"CO_57603","CO_E59",0.349,0.483,0.168,0.41,55473,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,"E59","Schaaps","egg","Schaaps-54",54,"collected","Schaaps-54_collected"
"CO_57608","CO_E03",0.277,0.621,0.102,0.412,65117,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02",NA,NA,NA,"E03","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected"
"CO_57608","CO_E01",0.276,0.617,0.107,0.416,55498,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02",NA,NA,NA,"E01","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected"
"CO_57608","CO_E04",0.305,0.588,0.107,0.401,59988,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02",NA,NA,NA,"E04","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected"
"CO_57608","CO_E02",0.309,0.559,0.132,0.412,60486,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02",NA,NA,NA,"E02","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected"
"CO_57610","CO_82979",0.41,0.364,0.226,0.408,40942,"2850-57610","Blue Cloud","mom","BlueCloud-14",NA,NA,NA,"2811-82979","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_57610","CO_82983",0.418,0.37,0.212,0.397,44430,"2850-57610","Blue Cloud","mom","BlueCloud-14",NA,NA,NA,"2811-82983","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_57610","CO_82980",0.499,0.236,0.265,0.383,41395,"2850-57610","Blue Cloud","mom","BlueCloud-14",NA,NA,NA,"2811-82980","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
