"dist","near_rank","BarnName_1","BarnName_2"
25.94862837,1,"Blue Cloud Gazebo","Blue Cloud pony shed"
27.13005795,2,"Blue Cloud Gazebo","Blue Cloud Middle Shed"
33.6104056,3,"Blue Cloud Gazebo","Blue Cloud main"
86.33132477,4,"Blue Cloud Gazebo","Blue Cloud wash room"
414.5516829,5,"Blue Cloud Gazebo","Nixon est"
917.4242491,6,"Blue Cloud Gazebo","Green Mill est"
970.8696427,7,"Blue Cloud Gazebo","Starlight est"
977.958485,8,"Blue Cloud Gazebo","Jays est"
1214.410615,9,"Blue Cloud Gazebo","Struthers back shed"
1248.255274,10,"Blue Cloud Gazebo","Struthers main"
1283.849839,11,"Blue Cloud Gazebo","Struthers round"
1393.566216,12,"Blue Cloud Gazebo","McCauley est"
2265.922974,13,"Blue Cloud Gazebo","Jims Green Barn est"
2292.39805,14,"Blue Cloud Gazebo","Speedwell est"
3126.335105,15,"Blue Cloud Gazebo","Red Wagon porch est"
3178.481318,16,"Blue Cloud Gazebo","Mayas est"
3726.155519,17,"Blue Cloud Gazebo","Karens est"
3892.653379,18,"Blue Cloud Gazebo","Make Believe"
3932.274332,19,"Blue Cloud Gazebo","Make Believe Shed"
4114.983601,20,"Blue Cloud Gazebo","CHR"
4298.903596,21,"Blue Cloud Gazebo","Plumbumpy est"
4353.431046,22,"Blue Cloud Gazebo","Brown Barn est"
4400.928463,23,"Blue Cloud Gazebo","Boyer"
4611.799012,24,"Blue Cloud Gazebo","Mary Anns est"
4717.884404,25,"Blue Cloud Gazebo","Cathys est"
4728.115403,26,"Blue Cloud Gazebo","Cathys trailer est"
4821.527196,27,"Blue Cloud Gazebo","Martes est"
4907.649984,28,"Blue Cloud Gazebo","Ericas"
5283.160703,29,"Blue Cloud Gazebo","Dome House est"
5303.64507,30,"Blue Cloud Gazebo","Quick est"
5360.094296,31,"Blue Cloud Gazebo","Urban Farm Girlz Sheep Shed"
5399.769922,32,"Blue Cloud Gazebo","Urban Farm Girlz Red Barn"
5436.491521,33,"Blue Cloud Gazebo","Urban Farm Girls Chicken coop"
5829.035347,34,"Blue Cloud Gazebo","Grizz est"
6240.398436,35,"Blue Cloud Gazebo","James Ditch est"
6309.110301,36,"Blue Cloud Gazebo","Schaaps"
7541.928654,37,"Blue Cloud Gazebo","Cargill est"
8144.229471,38,"Blue Cloud Gazebo","Hepp awning"
8151.419445,39,"Blue Cloud Gazebo","Cooks"
