Year,Band,Site,Sex,Type,FamilyID,Nest._1,Tissue,Seq.ID,Nest..,Brood..,clutch_id
2022,2811-83445,CHR,,kid,CHR-112,112.2,blood,CO-83445,112.2,2,CHR_112.2_2
2022,2811-83446,CHR,,kid,CHR-112,112.2,blood,CO-83446,112.2,2,CHR_112.2_2
2022,2850-57647,CHR,M,dad,CHR-112,112,blood,CO-57647,NA,NA,NA
2022,2850-57879,CHR,F,mom,CHR-112,112,blood,CO-57879,NA,NA,NA
2022,2811-83316,CHR,,kid,CHR-128,128,blood,CO-83316,128,1,CHR_128_1
2022,2811-83317,CHR,,kid,CHR-128,128,blood,CO-83317,128,1,CHR_128_1
2022,2811-83318,CHR,,kid,CHR-128,128,blood,CO-83318,128,1,CHR_128_1
2022,2811-83319,CHR,,kid,CHR-128,128,blood,CO-83319,128,1,CHR_128_1
2022,2811-83465,CHR,,kid,CHR-128,150,blood,CO-83465,150,2,CHR_150_2
2022,2850-57577,CHR,M,dad,CHR-128,128,blood,CO-57577,NA,NA,NA
2022,2870-65003,CHR,F,mom,CHR-128,128,blood,CO-65003,NA,NA,NA
2022,2811-83432,CHR,,kid,CHR-133,133,blood,CO-83432,133,1,CHR_133_1
2022,2811-83466,CHR,,kid,CHR-133,151,blood,CO-83466,151,2,CHR_151_2
2022,2811-83467,CHR,,kid,CHR-133,151,blood,CO-83467,151,2,CHR_151_2
2022,2811-83468,CHR,,kid,CHR-133,151,blood,CO-83468,151,2,CHR_151_2
2022,2850-57570,CHR,M,dad,CHR-133,133,blood,CO-57570,NA,NA,NA
2022,2850-57648,CHR,F,mom,CHR-133,133,blood,CO-57648,NA,NA,NA
2022,2850-57880,CHR,M,dad,CHR-139,#N/A,blood,CO-57880,NA,NA,NA
2022,2870-64909,CHR,F,mom,CHR-148,148,blood,CO-64909,NA,NA,NA
2022,2881-33696,CHR,,kid,CHR-148,148,blood,CO-33696,148,2,CHR_148_2
2022,2881-33697,CHR,,kid,CHR-148,148,blood,CO-33697,148,2,CHR_148_2
2022,2881-33698,CHR,,kid,CHR-148,148,blood,CO-33698,148,2,CHR_148_2
2022,2881-33699,CHR,,kid,CHR-148,148,blood,CO-33699,148,2,CHR_148_2
2022,2850-57582,CHR,M,dad,CHR-148,,blood,CO-57582,NA,NA,NA
2022,2850-57586,CHR,F,mom,CHR-149,149,blood,CO-57586,NA,NA,NA
2022,2850-57669,CHR,M,dad,CHR-149,#N/A,blood,CO-57669,NA,NA,NA
2022,2811-83240,Cooks,,kid,Cooks-02,2,blood,CO-83240,2,1,Cook's_2_1
2022,2850-57633,Cooks,M,dad,Cooks-02,2,blood,CO-57633,NA,NA,NA
2022,2850-57637,Cooks,F,mom,Cooks-02,2,blood,CO-57637,NA,NA,NA
2022,2850-57574,Cooks,M,dad,Cooks-04,4,blood,CO-57574,NA,NA,NA
2022,2850-57575,Cooks,F,mom,Cooks-04,4,blood,CO-57575,NA,NA,NA
2022,2881-34025,Cooks,,kid,Cooks-04,4,blood,CO-34025,4,1,Cook's_4_1
2022,2881-34026,Cooks,,kid,Cooks-04,4,blood,CO-34026,4,1,Cook's_4_1
2022,2881-34027,Cooks,,kid,Cooks-04,4,blood,CO-34027,4,1,Cook's_4_1
2022,2881-34028,Cooks,,kid,Cooks-04,4,blood,CO-34028,4,1,Cook's_4_1
2022,2850-57557,Cooks,M,dad,Cooks-06,6,blood,CO-57557,NA,NA,NA
2022,2850-57609,Cooks,F,mom,Cooks-06,6,blood,CO-57609,NA,NA,NA
2022,2881-34005,Cooks,,kid,Cooks-06,6,blood,CO-34005,6,1,Cook's_6_1
2022,2881-34006,Cooks,,kid,Cooks-06,6,blood,CO-34006,6,1,Cook's_6_1
2022,2881-34007,Cooks,,kid,Cooks-06,6,blood,CO-34007,6,1,Cook's_6_1
2022,2881-34008,Cooks,,kid,Cooks-06,6,blood,CO-34008,6,1,Cook's_6_1
2022,2881-34009,Cooks,,kid,Cooks-06,6,blood,CO-34009,6,1,Cook's_6_1
2022,2850-57657,CHR,M,dad,none,,blood,CO-57657,NA,NA,NA
2022,2850-57675,Cooks,M,dad,Cooks-13,,,CO-57675,NA,NA,NA
2022,2850-57749,Cooks,F,mom,Cooks-13,13,blood,CO-57749,NA,NA,NA
2022,2881-34060,Cooks,,kid,Cooks-13,13,blood,CO-34060,13,1,Cook's_13_1
2022,2881-34061,Cooks,,kid,Cooks-13,13,blood,CO-34061,13,1,Cook's_13_1
2022,2881-34062,Cooks,,kid,Cooks-13,13,blood,CO-34062,13,1,Cook's_13_1
