"Year","Band","Site","Sex","Type","FamilyID","Tissue","Seq.ID","Nest","Brood","clutch_id","New2023","Notes"
2021,"2811-83029","Schaaps","","kid","Schaaps-108","blood","CO-83029",97,"2","Schaaps_97_2","No",""
2021,"2811-83030","Schaaps","","kid","Schaaps-108","blood","CO-83030",97,"2","Schaaps_97_2","No",""
2021,"2811-83031","Schaaps","","kid","Schaaps-108","blood","CO-83031",97,"2","Schaaps_97_2","No",""
2021,"2811-83032","Schaaps","","kid","Schaaps-108","blood","CO-83032",97,"2","Schaaps_97_2","No",""
2021,"2850-57553","Schaaps","F","mom","Schaaps-108","blood","CO-57553",NA,NA,NA,"No",""
2021,"2850-57607","Schaaps","M","dad","Schaaps-108","blood","CO-57607",NA,NA,NA,"No",""
2021,"E70","Schaaps","","egg","Schaaps-108","egg","CO-E70",108,"collected","Schaaps-108_collected","No",""
2021,"E71","Schaaps","","egg","Schaaps-108","egg","CO-E71",108,"collected","Schaaps-108_collected","No",""
2021,"E72","Schaaps","","egg","Schaaps-108","egg","CO-E72",108,"collected","Schaaps-108_collected","No",""
2021,"E73","Schaaps","","egg","Schaaps-108","egg","CO-E73",108,"collected","Schaaps-108_collected","No",""
2021,"E74","Schaaps","","egg","Schaaps-108","egg","CO-E74",108,"collected","Schaaps-108_collected","No",""
2021,"2811-83218","Schaaps","","kid","Schaaps-110","blood","CO-83218",64,"2","Schaaps_64_2","Yes",""
2021,"2811-83219","Schaaps","","kid","Schaaps-110","blood","CO-83219",64,"2","Schaaps_64_2","Yes",""
2021,"2811-83220","Schaaps","","kid","Schaaps-110","blood","CO-83220",64,"2","Schaaps_64_2","Yes",""
2021,"2811-83221","Schaaps","","kid","Schaaps-110","blood","CO-83221",64,"2","Schaaps_64_2","Yes",""
2021,"2811-39152","Schaaps","","kid","Schaaps-110","blood","CO-39152",110,"1","Schaaps_110_1","Yes",""
2021,"2811-39153","Schaaps","","kid","Schaaps-110","blood","CO-39153",110,"1","Schaaps_110_1","Yes",""
2021,"2811-39154","Schaaps","","kid","Schaaps-110","blood","CO-39154",110,"1","Schaaps_110_1","Yes",""
2021,"2850-57701","Schaaps","M","dad","Schaaps-110","blood","CO-57701",NA,NA,NA,"No",""
2021,"2850-57604","Schaaps","","mom","Schaaps-110","blood","CO-57604",NA,"","","Yes",""
2021,"2811-39187","Schaaps","","kid","Schaaps-24","blood","CO-39187",24,"1","Schaaps_24_1","Yes",""
2021,"2811-39188","Schaaps","","kid","Schaaps-24","blood","CO-39188",24,"1","Schaaps_24_1","Yes",""
2021,"2811-39189","Schaaps","","kid","Schaaps-24","blood","CO-39189",24,"1","Schaaps_24_1","Yes",""
2021,"2811-83004","Schaaps","","kid","Schaaps-24","blood","CO-83004",28,"2","Schaaps_28_2","Yes",""
2021,"2811-83006","Schaaps","","kid","Schaaps-24","blood","CO-83006",28,"2","Schaaps_28_2","Yes",""
2021,"2811-83007","Schaaps","","kid","Schaaps-24","blood","CO-83007",28,"2","Schaaps_28_2","Yes",""
2021,"2850-57554","Schaaps","","dad","Schaaps-24","blood","CO-57554",NA,"","","Yes",""
2021,"2850-57905","Schaaps","","mom","Schaaps-24","blood","CO-57905",NA,"","","Yes",""
2021,"2811-82988","Schaaps","","kid","Schaaps-54","blood","CO-82988",33,"1","Schaaps_33_2","No",""
2021,"2811-82989","Schaaps","","kid","Schaaps-54","blood","CO-82989",33,"1","Schaaps_33_2","No",""
2021,"2811-82990","Schaaps","","kid","Schaaps-54","blood","CO-82990",33,"1","Schaaps_33_2","No",""
2021,"2811-06912","Schaaps","M","dad","Schaaps-54","blood","CO-06912",NA,NA,NA,"No",""
2021,"2850-57603","Schaaps","F","mom","Schaaps-54","blood","CO-57603",NA,NA,NA,"No",""
2021,"E56","Schaaps","","egg","Schaaps-54","egg","CO-E56",54,"collected","Schaaps-54_collected","No",""
2021,"E57","Schaaps","","egg","Schaaps-54","egg","CO-E57",54,"collected","Schaaps-54_collected","No",""
