Send.,Year,Band,Site,Sex,Type,FamilyID,Rep.by.x,GPS_tag.,Nest._1,Tissue,DNA.ID,DNA.Concentration..ng.µL.,DNA.storage.location,X,Re.extract.,Seq.ID,Rep.by.y,Nest..,Brood..,clutch_id
Y,2022,2640-97331,CHR,F,mom,CHR-029,688,,29,blood,688,238.287,CO 2022 Field Box 5,,,CO-97331,688,NA,NA,NA
Y,2022,2850-57808,CHR,M,dad,CHR-029,682,,29,blood,682,112.029,CO 2022 Field Box 5,,,CO-57808,682,NA,NA,NA
Y,2022,2881-34001,CHR,,kid,CHR-029,752,,29,blood,752,111.613,CO 2022 Field Box 6,,,CO-34001,752,29,1,CHR_29_1
Y,2022,2881-34002,CHR,,kid,CHR-029,753,,29,blood,753,120.896,CO 2022 Field Box 6,,,CO-34002,753,29,1,CHR_29_1
Y,2022,2881-34003,CHR,,kid,CHR-029,754,,29,blood,754,224.16,CO 2022 Field Box 6,,,CO-34003,754,29,1,CHR_29_1
Y,2022,2881-34004,CHR,,kid,CHR-029,755,,29,blood,755,159.05,CO 2022 Field Box 6,,,CO-34004,755,29,1,CHR_29_1
Y,2022,2881-34094,CHR,,kid,CHR-029,794,,27,blood,794,92.124,CO 2022 Field Box 6,,,CO-34094,794,27,2,CHR_27_2
Y,2022,2881-34095,CHR,,kid,CHR-029,795,,27,blood,795,90.974,CO 2022 Field Box 6,,,CO-34095,795,27,2,CHR_27_2
Y,2022,2881-34096,CHR,,kid,CHR-029,796,,27,blood,796,61.516,CO 2022 Field Box 7,,,CO-34096,796,27,2,CHR_27_2
Y,2022,2881-34097,CHR,,kid,CHR-029,797,,27,blood,797,111.351,CO 2022 Field Box 7,,,CO-34097,797,27,2,CHR_27_2
Y,2022,T017,CHR,,kid,CHR-029,T017,,29,tissue,T017,156.628,1.92,,,CO-T017,T017,29,1,CHR_29_1
Y,2022,2640-97358,CHR,F,mom,CHR-032,383,,32,blood,383,34.067,Colorado Field Blood 2022 Box 1,,,CO-97358,383,NA,NA,NA
Y,2022,2811-83061,CHR,,kid,CHR-032,462,,32,blood,462,40.954,CO 2022 Field Box 2,,,CO-83061,462,32,1,CHR_32_1
Y,2022,2811-83062,CHR,,kid,CHR-032,463,,32,blood,463,75.887,CO 2022 Field Box 2,,,CO-83062,463,32,1,CHR_32_1
Y,2022,2811-83063,CHR,,kid,CHR-032,464,,32,blood,464,33.547,CO 2022 Field Box 2,,,CO-83063,464,32,1,CHR_32_1
Y,2022,2811-83064,CHR,,kid,CHR-032,465,,32,blood,465,62.589,CO 2022 Field Box 2,,,CO-83064,465,32,1,CHR_32_1
Y,2022,2811-83065,CHR,,kid,CHR-032,466,,32,blood,466,285.305,CO 2022 Field Box 2,,,CO-83065,466,32,1,CHR_32_1
Y,2022,2811-83146,CHR,,kid,CHR-032,648,,32,blood,648,94.77,CO 2022 Field Box 4,,,CO-83146,648,32,3,CHR_32_3
Y,2022,2811-83147,CHR,,kid,CHR-032,649,,32,blood,649,167.113,CO 2022 Field Box 4,,,CO-83147,649,32,3,CHR_32_3
