"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3"
"CO_21085","CO_83475",0.235,0.695,0.07,0.418,62306,"2350-21085","Make Believe",70,"dad","MakeBelieve-70.3",NA,"Make Believe_70_","2811-83475","Make Believe",70.3,"kid","MakeBelieve-70.3","2","Make Believe_70.3_2",1,1
"CO_21085","CO_E091",0.276,0.647,0.076,0.4,59403,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",NA,"Make Believe_70_","E091","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
"CO_21085","CO_E092",0.231,0.71,0.058,0.413,54235,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",NA,"Make Believe_70_","E092","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
"CO_21085","CO_E093",0.275,0.627,0.097,0.411,56048,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",NA,"Make Believe_70_","E093","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
"CO_21085","CO_E094",0.312,0.551,0.137,0.412,50971,"2350-21085","Make Believe",70,"dad","MakeBelieve-70",NA,"Make Believe_70_","E094","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
"CO_21085","CO_83476",0.273,0.639,0.088,0.407,66420,"2350-21085","Make Believe",70,"dad","MakeBelieve-70.3",NA,"Make Believe_70_","2811-83476","Make Believe",70.3,"kid","MakeBelieve-70.3","2","Make Believe_70.3_2",1,1
"CO_97596","CO_E094",0.213,0.696,0.091,0.439,51890,"2640-97596","Make Believe",70,"mom","MakeBelieve-70",NA,"Make Believe_70_","E094","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
"CO_97596","CO_E090",0.275,0.592,0.133,0.429,56879,"2640-97596","Make Believe",70,"mom","MakeBelieve-70",NA,"Make Believe_70_","E090","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
"CO_97596","CO_E093",0.239,0.665,0.096,0.428,56849,"2640-97596","Make Believe",70,"mom","MakeBelieve-70",NA,"Make Believe_70_","E093","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
"CO_97596","CO_E091",0.213,0.705,0.082,0.434,60331,"2640-97596","Make Believe",70,"mom","MakeBelieve-70",NA,"Make Believe_70_","E091","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
