"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","rest.SI.chr","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert"
"2640-97358","2850-57733","2640-97358_2850-57733","1","CHR","32","CHR-32",0,0,8.180056395,0,43,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57742","2640-97358_2850-57742","1","CHR","32","CHR-32",0,3,4.44740581,3,8,0.161290322580645,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57742","2640-97358_2850-57742","3","CHR","32","CHR-32",0,7,4.608725363,0,-36,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57744","2640-97358_2850-57744","3","CHR","32","CHR-32",0,9,12.97113301,0,-12,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57744","2640-97358_2850-57744","1","CHR","32","CHR-32",0,0,12.97113301,0,26,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57745","2640-97358_2850-57745","1","CHR","32","CHR-32",0,0,12.90294043,0,13,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57745","2640-97358_2850-57745","3","CHR","32","CHR-32",0,0,12.35367069,0,-42,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57806","2640-97358_2850-57806","1","CHR","32","CHR-32",0,6,7.493744191,6,5,0.151612903225806,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57806","2640-97358_2850-57806","3","CHR","32","CHR-32",0,9,9.22669082,0,-33,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57808","2640-97358_2850-57808","1","CHR","32","CHR-32",0,6,2.113967997,6,5,0.151612903225806,"CHR_32_1",1,"ep_same",1,5,"yes"
"2640-97358","2850-57808","2640-97358_2850-57808","3","CHR","32","CHR-32",0,5,2.045060714,0,-37,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2850-57881","2640-97358_2850-57881","1","CHR","32","CHR-32",0,1,5.112140496,1,10,0.167741935483871,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2850-57881","2640-97358_2850-57881","3","CHR","32","CHR-32",0,9,5.064903298,0,-23,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","unb-CHR-145","2640-97358_unb-CHR-145","1","CHR","32","CHR-32",0,0,15.99720369,0,45,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","unb-CHR-145","2640-97358_unb-CHR-145","3","CHR","32","CHR-32",0,0,15.99720369,0,-45,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","unb-CHR-76and12","2640-97358_unb-CHR-76and12","3","CHR","32","CHR-32",0,3,10.24617765,0,-39,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","unb-CHR-76and12","2640-97358_unb-CHR-76and12","1","CHR","32","CHR-32",0,0,8.387337554,0,25,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","unb-CHR-77","2640-97358_unb-CHR-77","1","CHR","32","CHR-32",0,11,10.12552495,11,0,0.135483870967742,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","unb-CHR-77","2640-97358_unb-CHR-77","3","CHR","32","CHR-32",0,3,10.12552495,0,-39,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","unb-CHR-7and9","2640-97358_unb-CHR-7and9","1","CHR","32","CHR-32",0,0,9.884218893,0,22,0.170967741935484,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","unb-CHR-7and9","2640-97358_unb-CHR-7and9","3","CHR","32","CHR-32",0,0,8.436588118,0,-49,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97596","2350-21085","2640-97596_2350-21085","1","Make Believe","73","Make Believe-73",1,11,0.08,11,0,NA,"Make Believe_73_1",1,"wp",5,5,"yes"
"2640-97596","2350-21085","2640-97596_2350-21085","2","Make Believe","73","Make Believe-73",1,11,0.08,11,0,NA,"Make Believe_73_2",1,"wp",2,5,"yes"
"2640-97596","2850-57518","2640-97596_2850-57518","2","Make Believe","73","Make Believe-73",0,11,8.06746300727273,2,9,NA,"Make Believe_73_2",1,NA,0,5,"no"
"2640-97596","2850-57518","2640-97596_2850-57518","1","Make Believe","73","Make Believe-73",0,0,8.76593454,0,12,NA,"Make Believe_73_1",1,NA,0,5,"no"
"2640-97596","2850-57668","2640-97596_2850-57668","2","Make Believe","73","Make Believe-73",0,11,9.322435728,0,13,NA,"Make Believe_73_2",1,NA,0,5,"no"
"2640-97596","2850-57668","2640-97596_2850-57668","1","Make Believe","73","Make Believe-73",0,0,9.322435728,0,15,NA,"Make Believe_73_1",1,NA,0,5,"no"
"2640-97596","2850-57873","2640-97596_2850-57873","2","Make Believe","73","Make Believe-73",0,11,4.235389899,0,14,NA,"Make Believe_73_2",1,NA,0,5,"no"
"2640-97596","2850-57873","2640-97596_2850-57873","1","Make Believe","73","Make Believe-73",0,0,4.235389899,0,14,NA,"Make Believe_73_1",1,NA,0,5,"no"
"2640-97596","2850-57875","2640-97596_2850-57875","2","Make Believe","73","Make Believe-73",0,11,17.2762774,0,11,NA,"Make Believe_73_2",1,NA,0,5,"no"
"2640-97596","2850-57875","2640-97596_2850-57875","1","Make Believe","73","Make Believe-73",0,0,17.2762774,0,15,NA,"Make Believe_73_1",1,NA,0,5,"no"
"2640-97596","2850-57877","2640-97596_2850-57877","2","Make Believe","73","Make Believe-73",0,11,14.90668647,0,-21,NA,"Make Believe_73_2",1,NA,0,5,"no"
"2640-97596","2850-57877","2640-97596_2850-57877","1","Make Believe","73","Make Believe-73",0,0,14.90668647,0,29,NA,"Make Believe_73_1",1,NA,0,5,"no"
"2811-38984","2640-97588","2811-38984_2640-97588","1","CHR","102","CHR-102",0,11,11.64241472,9,-2,0.2,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2640-97588","2811-38984_2640-97588","2","CHR","102","CHR-102",0,11,11.64241472,8,-3,0.293548387096774,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2640-97589","2811-38984_2640-97589","1","CHR","102","CHR-102",1,11,0.08,11,0,0.229032258064516,"CHR_102_1",1,"wp",3,3,"yes"
"2811-38984","2640-97589","2811-38984_2640-97589","2","CHR","102","CHR-102",1,11,0.08,11,0,0.319354838709677,"CHR_102_2",1,"wp",4,4,"yes"
"2811-38984","2811-83208","2811-38984_2811-83208","2","CHR","102","CHR-102",0,11,16.60092687,0,15,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2811-83208","2811-38984_2811-83208","1","CHR","102","CHR-102",0,0,16.60092687,0,15,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57567","2811-38984_2850-57567","2","CHR","102","CHR-102",0,7,8.313013431,0,-36,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57567","2811-38984_2850-57567","1","CHR","102","CHR-102",0,0,8.313013431,0,13,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57570","2811-38984_2850-57570","2","CHR","102","CHR-102",0,11,8.398125942,6,-4,0.3,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57570","2811-38984_2850-57570","1","CHR","102","CHR-102",0,0,5.589012772,0,25,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57577","2811-38984_2850-57577","2","CHR","102","CHR-102",0,11,13.36803151,0,-24,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57577","2811-38984_2850-57577","1","CHR","102","CHR-102",0,0,13.36803151,0,25,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
