"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_57659","CO_34083",0.988,0.008,0.004,0.008,57730,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34083","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_57659","CO_83265",0.982,0.016,0.001,0.01,55792,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83265","CHR","kid","CHR-043",43,1,"CHR_43_1"
"CO_57659","CO_83264",0.988,0.011,0.001,0.006,60587,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83264","CHR","kid","CHR-043",43,1,"CHR_43_1"
"CO_57659","CO_T008",0.986,0.007,0.007,0.011,53073,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"T008","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_57659","CO_34022",0.987,0.01,0.003,0.008,60468,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34022","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_57659","CO_34023",0.978,0.018,0.004,0.013,59689,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34023","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_57659","CO_T011",0.982,0.017,0.001,0.009,58425,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"T011","CHR","kid","CHR-043",43,1,"CHR_43_1"
"CO_57659","CO_34082",0.964,0.034,0.002,0.019,58853,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34082","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_57659","CO_34084",0.966,0.03,0.004,0.019,57428,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34084","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_57659","CO_83324",0.984,0.008,0.008,0.012,62890,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83324","CHR","kid","CHR-066",16,2,"CHR_16_2"
"CO_57659","CO_34024",0.986,0.014,0,0.007,63217,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34024","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_57659","CO_34014",0.977,0.011,0.012,0.017,57812,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34014","CHR","kid","CHR-066",66,1,"CHR_66_1"
"CO_57659","CO_34029",0.981,0.017,0.002,0.01,64910,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34029","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_57659","CO_T010",0.984,0.016,0,0.008,56110,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"T010","CHR","kid","CHR-058",58,1,"CHR_58_1"
