"SeqID","Band","Site","Type","FamilyID","Nest","Brood","clutchID"
"CO_34020","2881-34020","CHR","kid","CHR-097",97,1,"CHR_97_1"
"CO_T003","T003","CHR","kid","CHR-097",19,2,"CHR_19_2"
"CO_83306","2811-83306","CHR","kid","CHR-099",99,1,"CHR_99_1"
"CO_83307","2811-83307","CHR","kid","CHR-099",99,1,"CHR_99_1"
"CO_83308","2811-83308","CHR","kid","CHR-099",99,1,"CHR_99_1"
"CO_83309","2811-83309","CHR","kid","CHR-099",99,1,"CHR_99_1"
"CO_83439","2811-83439","CHR","kid","CHR-099",99,2,"CHR_99_2"
"CO_83440","2811-83440","CHR","kid","CHR-099",99,2,"CHR_99_2"
"CO_83441","2811-83441","CHR","kid","CHR-099",99,2,"CHR_99_2"
"CO_83442","2811-83442","CHR","kid","CHR-099",99,2,"CHR_99_2"
"CO_83081","2811-83081","CHR","kid","CHR-102",102,1,"CHR_102_1"
"CO_83082","2811-83082","CHR","kid","CHR-102",102,1,"CHR_102_1"
"CO_83083","2811-83083","CHR","kid","CHR-102",102,1,"CHR_102_1"
"CO_34075","2881-34075","CHR","kid","CHR-102",102.2,2,"CHR_102.2_2"
"CO_34076","2881-34076","CHR","kid","CHR-102",102.2,2,"CHR_102.2_2"
"CO_34077","2881-34077","CHR","kid","CHR-102",102.2,2,"CHR_102.2_2"
"CO_34078","2881-34078","CHR","kid","CHR-102",102.2,2,"CHR_102.2_2"
"CO_83228","2811-83228","CHR","kid","CHR-110",110,1,"CHR_110_1"
"CO_83229","2811-83229","CHR","kid","CHR-110",110,1,"CHR_110_1"
"CO_83230","2811-83230","CHR","kid","CHR-110",110,1,"CHR_110_1"
"CO_83231","2811-83231","CHR","kid","CHR-110",110,1,"CHR_110_1"
"CO_34091","2881-34091","CHR","kid","CHR-110",52,2,"CHR_52_2"
"CO_34093","2881-34093","CHR","kid","CHR-110",52,2,"CHR_52_2"
"CO_83300","2811-83300","CHR","kid","CHR-112",112,1,"CHR_112_1"
"CO_83413","2811-83413","CHR","kid","CHR-112",112,1,"CHR_112_1"
"CO_83414","2811-83414","CHR","kid","CHR-112",112,1,"CHR_112_1"
"CO_83415","2811-83415","CHR","kid","CHR-112",112,1,"CHR_112_1"
"CO_83443","2811-83443","CHR","kid","CHR-112",112.2,2,"CHR_112.2_2"
"CO_83444","2811-83444","CHR","kid","CHR-112",112.2,2,"CHR_112.2_2"
"CO_83445","2811-83445","CHR","kid","CHR-112",112.2,2,"CHR_112.2_2"
"CO_83446","2811-83446","CHR","kid","CHR-112",112.2,2,"CHR_112.2_2"
"CO_83316","2811-83316","CHR","kid","CHR-128",128,1,"CHR_128_1"
"CO_83317","2811-83317","CHR","kid","CHR-128",128,1,"CHR_128_1"
"CO_83318","2811-83318","CHR","kid","CHR-128",128,1,"CHR_128_1"
"CO_83319","2811-83319","CHR","kid","CHR-128",128,1,"CHR_128_1"
"CO_83465","2811-83465","CHR","kid","CHR-128",150,2,"CHR_150_2"
"CO_83432","2811-83432","CHR","kid","CHR-133",133,1,"CHR_133_1"
"CO_83466","2811-83466","CHR","kid","CHR-133",151,2,"CHR_151_2"
"CO_83467","2811-83467","CHR","kid","CHR-133",151,2,"CHR_151_2"
"CO_83468","2811-83468","CHR","kid","CHR-133",151,2,"CHR_151_2"
"CO_33696","2881-33696","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33697","2881-33697","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33698","2881-33698","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_33699","2881-33699","CHR","kid","CHR-148",148,2,"CHR_148_2"
"CO_83240","2811-83240","Cooks","kid","Cooks-02",2,1,"Cook's_2_1"
"CO_34025","2881-34025","Cooks","kid","Cooks-04",4,1,"Cook's_4_1"
"CO_34026","2881-34026","Cooks","kid","Cooks-04",4,1,"Cook's_4_1"
"CO_34027","2881-34027","Cooks","kid","Cooks-04",4,1,"Cook's_4_1"
