"","Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"6514","CO_57808","CO_34083",0.785,0.145,0.07,0.143,55193,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34083","CHR","kid","CHR-045",45,2,"CHR_45_2"
"6523","CO_57808","CO_83096",0.306,0.555,0.139,0.416,54287,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2811-83096","CHR","kid","CHR-037",37,1,"CHR_37_1"
"6531","CO_57808","CO_34024",0.256,0.66,0.083,0.414,60383,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34024","CHR","kid","CHR-058",58,1,"CHR_58_1"
"6532","CO_57808","CO_34022",0.23,0.701,0.068,0.419,57836,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2881-34022","CHR","kid","CHR-058",58,1,"CHR_58_1"
"6539","CO_57808","CO_T008",0.793,0.129,0.079,0.143,50893,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"T008","CHR","kid","CHR-045",45,2,"CHR_45_2"
"6546","CO_57808","CO_T010",0.28,0.607,0.113,0.417,53694,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"T010","CHR","kid","CHR-058",58,1,"CHR_58_1"
"6576","CO_57808","CO_83304",0.293,0.59,0.118,0.413,57105,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2811-83304","CHR","kid","CHR-096",96,1,"CHR_96_1"
"6578","CO_57808","CO_T001",0.26,0.658,0.082,0.411,54041,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"T001","CHR","kid","CHR-096",96,1,"CHR_96_1"
"6581","CO_57808","CO_83302",0.231,0.684,0.085,0.427,59289,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2811-83302","CHR","kid","CHR-096",96,1,"CHR_96_1"
"6582","CO_57808","CO_83301",0.29,0.59,0.121,0.416,51889,"2850-57808","CHR","dad","CHR-029",NA,NA,NA,"2811-83301","CHR","kid","CHR-096",96,1,"CHR_96_1"
"6964","CO_57731","CO_83062",0.289,0.59,0.121,0.416,58146,"2850-57731","CHR","dad","CHR-032",NA,NA,NA,"2811-83062","CHR","kid","CHR-032",32,1,"CHR_32_1"
"6968","CO_57731","CO_83065",0.333,0.509,0.158,0.412,49870,"2850-57731","CHR","dad","CHR-032",NA,NA,NA,"2811-83065","CHR","kid","CHR-032",32,1,"CHR_32_1"
"6969","CO_57731","CO_33655",0.253,0.648,0.099,0.423,58660,"2850-57731","CHR","dad","CHR-032",NA,NA,NA,"2881-33655","CHR","kid","CHR-025",95,2,"CHR_95_2"
"6980","CO_57731","CO_83061",0.334,0.511,0.155,0.41,51275,"2850-57731","CHR","dad","CHR-032",NA,NA,NA,"2811-83061","CHR","kid","CHR-032",32,1,"CHR_32_1"
"6983","CO_57731","CO_83147",0.294,0.587,0.119,0.412,55407,"2850-57731","CHR","dad","CHR-032",NA,NA,NA,"2811-83147","CHR","kid","CHR-032",32,3,"CHR_32_3"
"6986","CO_57731","CO_83146",0.28,0.592,0.128,0.424,57425,"2850-57731","CHR","dad","CHR-032",NA,NA,NA,"2811-83146","CHR","kid","CHR-032",32,3,"CHR_32_3"
"7001","CO_57731","CO_83063",0.317,0.552,0.131,0.407,52582,"2850-57731","CHR","dad","CHR-032",NA,NA,NA,"2811-83063","CHR","kid","CHR-032",32,1,"CHR_32_1"
"7655","CO_57806","CO_83279",0.324,0.525,0.151,0.414,51572,"2850-57806","CHR","dad","CHR-037",NA,NA,NA,"2811-83279","CHR","kid","CHR-004",4,1,"CHR_4_1"
"7656","CO_57806","CO_83279",0.324,0.525,0.151,0.414,51572,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2811-83279","CHR","kid","CHR-004",4,1,"CHR_4_1"
"7699","CO_57806","CO_33631",0.322,0.54,0.138,0.408,53063,"2850-57806","CHR","dad","CHR-037",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"7700","CO_57806","CO_33631",0.322,0.54,0.138,0.408,53063,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"7707","CO_57806","CO_33632",0.335,0.502,0.162,0.414,50387,"2850-57806","CHR","dad","CHR-037",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"7708","CO_57806","CO_33632",0.335,0.502,0.162,0.414,50387,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"7719","CO_57806","CO_83095",0.319,0.548,0.133,0.407,48652,"2850-57806","CHR","dad","CHR-037",NA,NA,NA,"2811-83095","CHR","kid","CHR-037",37,1,"CHR_37_1"
"7720","CO_57806","CO_83095",0.319,0.548,0.133,0.407,48652,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2811-83095","CHR","kid","CHR-037",37,1,"CHR_37_1"
"8396","CO_57620","CO_83122",0.216,0.78,0.004,0.394,55156,"2850-57620","CHR","dad","CHR-039",NA,NA,NA,"2811-83122","CHR","kid","CHR-039",39,1,"CHR_39_1"
"8403","CO_57620","CO_83343",0.29,0.595,0.115,0.412,58622,"2850-57620","CHR","dad","CHR-039",NA,NA,NA,"2811-83343","CHR","kid","CHR-039",39,2,"CHR_39_2"
"8405","CO_57620","CO_83342",0.354,0.497,0.15,0.398,56140,"2850-57620","CHR","dad","CHR-039",NA,NA,NA,"2811-83342","CHR","kid","CHR-039",39,2,"CHR_39_2"
"8407","CO_57620","CO_83344",0.33,0.517,0.152,0.411,53689,"2850-57620","CHR","dad","CHR-039",NA,NA,NA,"2811-83344","CHR","kid","CHR-039",39,2,"CHR_39_2"
"8408","CO_57620","CO_83123",0.389,0.44,0.17,0.39,52406,"2850-57620","CHR","dad","CHR-039",NA,NA,NA,"2811-83123","CHR","kid","CHR-039",39,1,"CHR_39_1"
"8414","CO_57620","CO_83125",0.292,0.588,0.12,0.414,60855,"2850-57620","CHR","dad","CHR-039",NA,NA,NA,"2811-83125","CHR","kid","CHR-039",39,1,"CHR_39_1"
"8420","CO_57620","CO_83341",0.33,0.52,0.151,0.41,54468,"2850-57620","CHR","dad","CHR-039",NA,NA,NA,"2811-83341","CHR","kid","CHR-039",39,2,"CHR_39_2"
"8421","CO_57620","CO_83124",0.373,0.439,0.188,0.407,51706,"2850-57620","CHR","dad","CHR-039",NA,NA,NA,"2811-83124","CHR","kid","CHR-039",39,1,"CHR_39_1"
"8886","CO_57567","CO_83262",0.344,0.501,0.154,0.405,56607,"2850-57567","CHR","dad","CHR-043",NA,NA,NA,"2811-83262","CHR","kid","CHR-043",43,1,"CHR_43_1"
"8888","CO_57567","CO_T011",0.38,0.45,0.17,0.395,55732,"2850-57567","CHR","dad","CHR-043",NA,NA,NA,"T011","CHR","kid","CHR-043",43,1,"CHR_43_1"
"8889","CO_57567","CO_83265",0.324,0.541,0.135,0.405,53146,"2850-57567","CHR","dad","CHR-043",NA,NA,NA,"2811-83265","CHR","kid","CHR-043",43,1,"CHR_43_1"
"8895","CO_57567","CO_83264",0.349,0.497,0.154,0.403,57669,"2850-57567","CHR","dad","CHR-043",NA,NA,NA,"2811-83264","CHR","kid","CHR-043",43,1,"CHR_43_1"
"8896","CO_57567","CO_83263",0.347,0.49,0.163,0.408,48473,"2850-57567","CHR","dad","CHR-043",NA,NA,NA,"2811-83263","CHR","kid","CHR-043",43,1,"CHR_43_1"
"9415","CO_57653","CO_34074",0.277,0.589,0.134,0.429,54630,"2850-57653","CHR","dad","CHR-045",NA,NA,NA,"2881-34074","CHR","kid","CHR-093",93,2,"CHR_93_2"
"9912","CO_57646","CO_83445",0.316,0.543,0.141,0.412,58547,"2850-57646","CHR","dad","CHR-054",NA,NA,NA,"2811-83445","CHR","kid","CHR-112",112.2,2,"CHR_112.2_2"
"10714","CO_57581","CO_83437",0.269,0.632,0.099,0.415,60882,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2811-83437","CHR","kid","CHR-004",4,2,"CHR_4_2"
"10716","CO_57581","CO_83277",0.302,0.587,0.111,0.404,61645,"2850-57581","CHR","dad","CHR-066",NA,NA,NA,"2811-83277","CHR","kid","CHR-004",4,1,"CHR_4_1"
