"Ind2","Ind1","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_33667","CO_57872",0.233,0.677,0.09,0.429,58917,"2850-57872","Make Believe","mom","MakeBelieve-26",NA,NA,NA,"2881-33667","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33668","CO_57873",0.28,0.601,0.119,0.42,52733,"2850-57873","Make Believe","dad","MakeBelieve-26",NA,NA,NA,"2881-33668","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33668","CO_57872",0.285,0.582,0.133,0.424,61331,"2850-57872","Make Believe","mom","MakeBelieve-26",NA,NA,NA,"2881-33668","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33669","CO_57873",0.293,0.565,0.142,0.425,47209,"2850-57873","Make Believe","dad","MakeBelieve-26",NA,NA,NA,"2881-33669","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33669","CO_57872",0.293,0.58,0.127,0.417,54888,"2850-57872","Make Believe","mom","MakeBelieve-26",NA,NA,NA,"2881-33669","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33670","CO_57691",0.337,0.486,0.177,0.42,47786,"2850-57691","Marte's","dad","Marty-01",NA,NA,NA,"2881-33670","Marte's","kid","Marty-01",2,2,"Marte's_2_2"
"CO_33670","CO_57692",0.29,0.565,0.145,0.428,55354,"2850-57692","Marte's","mom","Marty-01",NA,NA,NA,"2881-33670","Marte's","kid","Marty-01",2,2,"Marte's_2_2"
"CO_33671","CO_57691",0.292,0.583,0.125,0.417,52673,"2850-57691","Marte's","dad","Marty-01",NA,NA,NA,"2881-33671","Marte's","kid","Marty-01",2,2,"Marte's_2_2"
"CO_33671","CO_57692",0.268,0.625,0.107,0.42,61025,"2850-57692","Marte's","mom","Marty-01",NA,NA,NA,"2881-33671","Marte's","kid","Marty-01",2,2,"Marte's_2_2"
"CO_33672","CO_57691",0.308,0.543,0.149,0.421,54126,"2850-57691","Marte's","dad","Marty-01",NA,NA,NA,"2881-33672","Marte's","kid","Marty-01",2,2,"Marte's_2_2"
