"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2"
"CO_57572","CO_33941",0.981,0.019,0,0.01,62451,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33941","Blue Cloud",4.2,"kid","BlueCloud-04","1","Blue Cloud_4.2_1"
"CO_57572","CO_33928",0.256,0.673,0.07,0.407,60542,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33928","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1"
"CO_57572","CO_33943",0.989,0.011,0,0.006,62310,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33943","Blue Cloud",4.2,"kid","BlueCloud-04","1","Blue Cloud_4.2_1"
"CO_57572","CO_33945",0.987,0.012,0.001,0.007,63808,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33945","Struthers",5,"kid","Struthers-03","2","Struthers_5_2"
"CO_57572","CO_33944",0.983,0.017,0.001,0.009,59877,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33944","Struthers",5,"kid","Struthers-03","2","Struthers_5_2"
"CO_57572","CO_33946",0.984,0.016,0,0.008,63350,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33946","Struthers",5,"kid","Struthers-03","2","Struthers_5_2"
"CO_57572","CO_33948",0.987,0.012,0,0.007,63331,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33948","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2"
"CO_57572","CO_33950",0.988,0.012,0,0.006,64460,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33950","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2"
"CO_57572","CO_33951",0.985,0.015,0,0.008,67172,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33951","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2"
"CO_57572","CO_33947",0.984,0.016,0,0.008,59582,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33947","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2"
"CO_57572","CO_34132",0.99,0.009,0.001,0.005,59595,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-34132","Speedwell",1,"kid","Speedwell-01","1","Speedwell_1_1"
"CO_57572","CO_34133",0.991,0.009,0,0.004,72054,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-34133","Speedwell",1,"kid","Speedwell-01","1","Speedwell_1_1"
"CO_57572","CO_34134",0.988,0.012,0.001,0.007,60472,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-34134","Speedwell",1,"kid","Speedwell-01","1","Speedwell_1_1"
"CO_57572","CO_57518",0.994,0.006,0,0.003,71700,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57518","Make Believe",69,"dad","MakeBelieve-69","","Make Believe_69_"
"CO_57572","CO_34135",0.991,0.009,0,0.005,57990,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-34135","Speedwell",1,"kid","Speedwell-01","1","Speedwell_1_1"
"CO_57572","CO_34136",0.988,0.012,0,0.006,58194,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-34136","Boyer",15,"kid","Boyer-15","1","Boyer_15_1"
"CO_57572","CO_34137",0.991,0.009,0,0.004,57386,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-34137","Boyer",15,"kid","Boyer-15","1","Boyer_15_1"
"CO_57572","CO_57567",0.981,0.018,0.001,0.01,61577,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57567","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57574",0.987,0.012,0.001,0.007,60395,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57574","Cooks",2,"dad","Cooks-02","","Cooks_2_"
"CO_57572","CO_57608",0.99,0.006,0.004,0.007,62036,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57608","Urban Farm Girlz",4,"mom","UrbanFarm-07","","Urban Farm Girlz_4_"
"CO_57572","CO_57575",0.989,0.01,0,0.005,62302,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57575","Cooks",4,"mom","Cooks-04","","Cooks_4_"
"CO_57572","CO_57638",0.99,0.009,0.001,0.005,63061,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57638","Cooks",29,"dad","Cooks-29","","Cooks_29_"
"CO_57572","CO_57582",0.977,0.019,0.004,0.014,63706,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57582","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57578",0.982,0.018,0,0.009,60578,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57578","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57642",0.993,0.007,0,0.004,63480,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57642","Cooks",4,"dad","Cooks-04","","Cooks_4_"
